Version ->,Rarity,Vision,1.5,1.6,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,Average usage
Albedo,5,Geo,55.56,27.6,51.3,47.4,44.1,61.4,42.0,68.4,12.7,53.0,34.5,24.6,17.9,15.7,30.1,8.6,5.4,7.9,5.9,3.6,30.88
Alhaitham,5,Dendro,,,,,,,,,,,,,,,,56.0,56.6,57.6,40.9,64.8,55.18
Amber,4,Pyro,1.9,1.5,0.3,0.2,0.7,0.8,1.0,1.2,0.3,0.1,0.3,0.2,0.4,0.5,1.0,0.2,0.1,0.1,0.2,0.2,0.56
Arataki Itto,5,Geo,,,,,,,39.0,47.3,10.6,39.8,18.9,17.3,16.9,15.2,39.6,10.6,6.4,11.1,8.2,5.3,20.44
Baizhu,5,Dendro,,,,,,,,,,,,,,,,,,,53.5,59.4,56.45
Barbara,4,Hydro,6.11,3.3,4.0,5.7,5.0,6.1,7.0,5.4,7.2,1.1,5.8,5.7,4.8,6.7,7.9,2.9,4.9,7.4,3.8,9.7,5.53
Beidou,4,Electro,11.8,6.5,5.1,7.2,10.5,13.3,8.0,11.4,10.7,1.5,1.3,2.0,2.0,0.8,2.7,0.6,1.1,1.4,1.5,2.3,5.09
Bennett,4,Pyro,79.6,80.2,74.5,83.9,88.1,88.3,81.0,80.5,56.8,87.3,92.7,85.5,77.4,73.7,84.1,71.9,87.4,77.5,88.6,64.6,80.18
Candace,4,Hydro,,,,,,,,,,,,,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.11
Chongyun,4,Cryo,16.2,1.2,0.8,0.5,0.5,0.1,0.1,0.5,0.1,0.5,0.3,0.1,0.1,0.1,0.2,0.4,1.0,0.5,0.2,0.1,1.18
Collei,4,Dendro,,,,,,,,,,,,2.3,16.5,9.0,3.0,2.7,1.0,2.4,1.0,1.3,4.36
Cyno,5,Electro,,,,,,,,,,,,,28.4,40.3,40.3,15.2,14.4,15.9,8.1,9.7,21.54
Dehya,5,Pyro,,,,,,,,,,,,,,,,,15.8,4.2,3.7,1.0,6.18
Diluc,5,Pyro,30.0,33.2,15.8,12.9,7.5,5.0,1.0,2.0,0.7,3.8,12.3,3.6,2.3,2.2,1.0,0.5,1.4,0.4,2.3,0.4,6.92
Diona,4,Cryo,59.4,46.5,51.1,53.4,44.2,42.8,44.0,24.1,45.6,17.4,28.0,25.8,20.1,18.0,11.7,6.9,11.8,9.5,9.7,9.8,28.99
Dori,4,Electro,,,,,,,,,,,,0.2,0.4,0.8,0.9,0.2,0.3,0.1,0.1,0.2,0.36
Eula,5,Cryo,,39.8,47.1,56.7,47.3,44.1,26.0,20.6,13.8,14.5,28.2,20.9,15.9,15.1,6.4,4.8,3.4,4.0,3.0,9.0,22.14
Faruzan,4,Anemo,,,,,,,,,,,,,,,18.7,21.9,7.6,7.8,5.2,4.9,11.02
Fischl,4,Electro,25.3,18.0,18.0,16.8,19.4,22.4,18.0,24.9,17.3,16.7,2.5,6.0,16.5,18.8,13.6,13.9,8.8,12.7,6.9,6.5,15.15
Ganyu,5,Cryo,94.85,90.6,74.8,69.9,63.1,47.4,49.0,40.6,68.5,18.6,33.8,31.5,32.7,33.3,26.5,7.5,19.7,10.4,12.2,8.9,41.69
Gorou,4,Geo,,,,,,35.0,32.0,23.8,3.6,16.5,3.9,4.2,4.7,3.9,12.8,3.4,1.6,2.7,2.0,1.2,10.09
Hu Tao,5,Pyro,,,,,67.6,58.2,52.0,60.4,23.9,64.8,80.8,71.0,41.8,34.4,42.2,30.5,47.7,33.3,41.4,22.3,48.27
