Name,Vision,1,2,3,4,Total
Hu Tao,Pyro,12481634,25226952,18848644.94,0,56557230.94
Keqing,Electro,9505798,0,0,0,9505798
Kazuha,Anemo,9807112,21607384.94,12650030.48,0,44064527.41
Nahida,Dendro,31469178,20081775,0,0,51550953
Yelan,Hydro,23312917,27707508.06,0,0,51020425.06
Ayaka,Cryo,16451006,35939066,16496341.28,0,68886413.28
Itto,Geo,13404072,12586764,2793666.838,0,28784502.84
Xiao,Anemo,13145115,10169343.35,8864226.997,4300201.405,36478886.75
Zhongli,Geo,16264892,10215165,14824807.82,11317001.27,52621866.09
Klee,Pyro,22750080,7006180,3201094.065,1784029.834,34741383.9
Albedo,Geo,11816107,840457,3923112.219,0,16579676.22
Cyno,Electro,13624096.22,4906336.803,0,0,18530433.02
Eula,Cryo,12619390,8185608.654,4674158.166,0,25479156.82
Shenhe,Cryo,6825062.651,19465682.72,0,0,26290745.37
Shogun,Electro,33020905,37919130,30380535.57,0,101320570.6
Ganyu,Cryo,15669918,11955490.18,8649625,3066861.953,39341895.13
Yoimiya,Pyro,8615144,14333266,2548111.61,3548134.884,29044656.49
Baizhu,Dendro,6041718.047,0,0,0,6041718.047
Alhaitham,Dendro,14061658.59,4809897.521,0,0,18871556.12
Wanderer,Anemo,24332838.16,4644613.081,0,0,28977451.24
Tartaglia,Hydro,13443619,6965445,7785438,7010421.673,35204923.67
Ayato,Hydro,14488380.45,7538594.433,0,0,22026974.89
Nilou,Hydro,11808567.78,7937460.34,0,0,19746028.12
Kokomi,Hydro,7020975,7080223.418,7032215.247,4261112.919,25394526.58
Dehya,Pyro,8291709.197,0,0,0,8291709.197
Tighnari,Dendro,7751370.732,0,0,0,7751370.732
Venti,Anemo,30632752,16614209,8279074.545,5427926.781,60953962.33
Yae Miko,Electro,15110264,11426987.33,5606053.116,0,32143304.44
